trial,fix_locus,fix_shape_family,op_order_preserved,escape_hatches,breaks_attacked,files_touched,diff_lines,turns,agent_claim,semantic_equivalence
noskill_V0_1,model-only,mixed,no,none,capture_outputs decorator;list comprehension;Tensor.item;.tolist;nonzero/boolean-indexing;torch_compilable_check,"modeling_mistral3,modeling_pixtral",206,37,16->0 graph breaks; fullgraph ok; max_diff 7.15e-07,context-equivalent
noskill_V0_2,model-only,mixed,no,is_compiling,image_sizes .item;list comprehension;.tolist;nonzero/boolean-indexing;torch_compilable_check,"modeling_mistral3,modeling_pixtral",139,37,16->0 graph breaks; fullgraph ok; max_diff 7.15e-07,context-equivalent
noskill_V0_3,model-only,mixed,no,is_compiling,list comprehension;cumsum tensor slice;.tolist;nonzero/boolean-indexing;torch_compilable_check,"modeling_mistral3,modeling_pixtral",113,44,16->0 graph breaks; fullgraph ok; max_diff 7.15e-07,context-equivalent
noskill_V2_1,both,mixed,yes,is_compiling,tensor image_sizes .item;cumsum tensor slice;.tolist;nonzero/boolean-indexing;torch_compilable_check ValueError proxy,"modeling_mistral3,modeling_pixtral,baseline_mistral3",73,27,16->0 graph breaks; fullgraph ok; max_diff 5.96e-07,context-equivalent
noskill_V2_2,both,mixed,unclear,none,tensor image_sizes .item;comprehension_graph_break;ContextVar/capture_outputs;cumsum tensor slice;nonzero/boolean-indexing;torch_compilable_check,"modeling_mistral3,modeling_pixtral,baseline_mistral3",209,44,16->0 graph breaks; fullgraph ok; max_diff 5.96e-07,context-equivalent
noskill_V2_3,both,mixed,no,is_compiling,capture_outputs (bypassed via output_hidden_states=False);list comprehension;cumsum tensor slice;image_sizes .item/.tolist;nonzero/boolean-indexing;torch_compilable_check;baseline eager-after-compile reorder,"modeling_mistral3,modeling_pixtral,baseline_mistral3",178,35,16->0 graph breaks; fullgraph ok; max_diff 7.15e-07,context-equivalent
noskill_V4_1,both,mixed,yes,none,capture_outputs;comprehension;generate_block_attention_mask;PatchMerger_unfold;tolist_split;nonzero_boolean_indexing;torch_compilable_check,modeling_mistral3.py;modeling_pixtral.py;baseline_mistral3.py,261,40,16->0 graph breaks fullgraph=True compiles,context-equivalent
noskill_V4_2,both,mixed,yes,none,capture_outputs;generate_block_attention_mask;tolist_split;nonzero_boolean_indexing;input_type_image_sizes,modeling_mistral3.py;modeling_pixtral.py;baseline_mistral3.py,134,44,16->0 graph breaks (claimed but actual 9 under canonical inputs),context-equivalent
noskill_V4_3,model-only,restructure,yes,none,capture_outputs;comprehension;generate_block_attention_mask;PatchMerger_unfold;tolist_split;nonzero_boolean_indexing;masked_scatter;maybe_autocast,modeling_mistral3.py;modeling_pixtral.py,241,66,16->0 graph breaks fullgraph=True compiles,context-equivalent
noskill_V6_1,both,mixed,yes,none,capture_outputs;comprehension;generate_block_attention_mask;tolist_split;nonzero_boolean_indexing;torch_compilable_check;input_type_image_sizes,modeling_mistral3.py;modeling_pixtral.py;baseline_mistral3.py,212,44,16->0 graph breaks (claimed but actual 14 under canonical inputs),context-equivalent
noskill_V6_2,both,mixed,yes,none,capture_outputs;comprehension;generate_block_attention_mask;tolist_split;nonzero_masked_scatter;torch_compilable_check;input_type_image_sizes,modeling_mistral3.py;modeling_pixtral.py;baseline_mistral3.py,206,38,16->0 graph breaks (claimed but actual 14 under canonical inputs),context-equivalent
