run_id,trial_id,arm,variant,seed,fix_status,gb_in_agent_run,gb_canonical,max_diff_compiled_vs_eager,sp_t1,sp_t2,eager_self_diff,eager_deterministic,perf_error_t1,perf_error_t2,exit_code,elapsed_s,n_files_edited,files_edited,edit_class,lines_added,lines_removed,flags
20260425-144345,debug_graph_breaks_V0_1,debug_graph_breaks,V0,1,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1230.7151975631714,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,65,42,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V0_2,debug_graph_breaks,V0,2,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,955.2528195381165,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,54,46,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V0_3,debug_graph_breaks,V0,3,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (10496) must match the size of tensor b (16128) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,0,1301.7778315544128,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,51,32,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V2_1,debug_graph_breaks,V2,1,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (16384) must match the size of tensor b (21248) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,0,1682.279042482376,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,70,37,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V2_2,debug_graph_breaks,V2,2,setup-required,0,6,,,,,,RuntimeError: The size of tensor a (22272) must match the size of tensor b (21248) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,0,1499.7751178741455,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,48,34,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V2_3,debug_graph_breaks,V2,3,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1409.4831337928772,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,66,45,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V4_1,debug_graph_breaks,V4,1,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1499.473275899887,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,81,43,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V4_2,debug_graph_breaks,V4,2,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1091.642526626587,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,56,42,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V4_3,debug_graph_breaks,V4,3,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1262.327555179596,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,51,46,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V6_1,debug_graph_breaks,V6,1,general,0,0,2.0,2.240741754428826,1.4443320177253935,2.0,False,,,0,932.0248250961304,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,54,44,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V6_2,debug_graph_breaks,V6,2,general,0,0,2.0,1.8766248077254,1.4136216472575738,2.0,False,,,0,1304.3185489177704,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,60,38,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V6_3,debug_graph_breaks,V6,3,general,0,0,2.0,1.6118522006938434,1.3506608397331032,2.0,False,,,0,1194.5121593475342,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,56,44,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V0_1,noskill,V0,1,setup-required,0,1,,1.098842968957487,1.177695507449207,,,,,0,1151.7528841495514,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,58,31,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
